cell,model,method,prompt,reward,ba_clip,ba_conditions,iteration,prompt_length,category
02_qwen2_base_opro_llm,Base,OPRO-LLM,"Does this audio contain human speech?
Reply with ONLY one word: SPEECH or NON-SPEECH.",1.0589275152844233,0.843939393939394,0.8599524853801169,0,85,Binary directive
02_qwen2_base_opro_llm,Base,OPRO-LLM,Classify this audio. Reply with SPEECH or NON-SPEECH.,0.6711772328548644,0.5363636363636364,0.5392543859649123,1,53,Binary directive
02_qwen2_base_opro_llm,Base,OPRO-LLM,What do you hear? Respond with SPEECH or NON-SPEECH.,0.6291066919191919,0.503030303030303,0.5043055555555556,1,52,Open-ended question
02_qwen2_base_opro_llm,Base,OPRO-LLM,Determine if this contains human speech. Answer with SPEECH or NON-SPEECH.,0.6557446172248804,0.5242424242424243,0.5260087719298245,1,74,Binary directive
02_qwen2_base_opro_llm,Base,OPRO-LLM,Classify this audio. Reply with SPEECH or NON-SPEECH.,0.6711772328548644,0.5363636363636364,0.5392543859649123,2,53,Binary directive
02_qwen2_base_opro_llm,Base,OPRO-LLM,What type of sound is heard here? Answer: SPEECH or NON-SPEECH.,0.649827634901648,0.5196969696969697,0.5205226608187133,2,63,Open-ended question
02_qwen2_base_opro_llm,Base,OPRO-LLM,Determine if this contains spoken words. Respond with SPEECH or NON-SPEECH.,0.6482922149122807,0.5166666666666667,0.526502192982456,2,75,Binary directive
02_qwen2_base_opro_llm,Base,OPRO-LLM,Classify this audio. Reply with SPEECH or NON-SPEECH.,0.6711772328548644,0.5363636363636364,0.5392543859649123,3,53,Binary directive
02_qwen2_base_opro_llm,Base,OPRO-LLM,What do you hear in this audio? Answer: SPEECH or NON-SPEECH.,0.924669889686337,0.7393939393939394,0.7411038011695906,3,61,Open-ended question
02_qwen2_base_opro_llm,Base,OPRO-LLM,Determine if this contains human speech. Respond with SPEECH or NON-SPEECH.,0.6440166467304624,0.5151515151515151,0.5154605263157894,3,75,Binary directive
02_qwen2_base_opro_llm,Base,OPRO-LLM,Is this audio human speech? Answer: SPEECH or NON-SPEECH.,1.110246129053695,0.8863636363636364,0.8955299707602339,4,57,Binary directive
02_qwen2_base_opro_llm,Base,OPRO-LLM,Classify this audio as SPEECH or NON-SPEECH.,0.9607861509835195,0.7696969696969698,0.7643567251461988,4,44,Binary directive
02_qwen2_base_opro_llm,Base,OPRO-LLM,What kind of sound is this? Answer: SPEECH or NON-SPEECH.,0.6689009336788942,0.5348484848484849,0.5362097953216374,4,57,Open-ended question
02_qwen2_base_opro_llm,Base,OPRO-LLM,Classify this audio as SPEECH or NON-SPEECH. Be brief.,0.9345089879053696,0.7469696969696971,0.75015716374269,5,54,Binary directive
02_qwen2_base_opro_llm,Base,OPRO-LLM,What type of sound is this? Answer: SPEECH or NON-SPEECH.,0.6441628455608719,0.5151515151515151,0.5160453216374269,5,57,Open-ended question
02_qwen2_base_opro_llm,Base,OPRO-LLM,"Determine if this contains human speech. Use ""SPEECH"" or ""NONSPEECH"".",0.625,0.5,0.5,5,69,Direct question
02_qwen2_base_opro_llm,Base,OPRO-LLM,Classify this audio as SPEECH or NON-SPEECH. Focus on clarity.,0.9059526182881446,0.7212121212121212,0.7389619883040934,6,62,Acoustic focus
02_qwen2_base_opro_llm,Base,OPRO-LLM,What do you hear in this audio? Respond: SPEECH or NON-SPEECH.,0.6713983585858586,0.5363636363636364,0.540138888888889,6,62,Open-ended question
02_qwen2_base_opro_llm,Base,OPRO-LLM,"Determine if this contains human speech. Use ""SPEECH"" or ""NON-SPEECH"" only.",0.7628171517809677,0.6090909090909091,0.6149049707602339,6,75,Direct question
02_qwen2_base_opro_llm,Base,OPRO-LLM,Classify this audio as SPEECH or NON-SPEECH. Focus on detecting any human voice clearly.,0.6347166566985646,0.5075757575757576,0.5085635964912281,7,88,Acoustic focus
02_qwen2_base_opro_llm,Base,OPRO-LLM,What do you hear in this audio? Answer with SPEECH or NON-SPEECH based on the presence of human speech.,0.8933496145667198,0.7151515151515151,0.7127923976608187,7,103,Open-ended question
02_qwen2_base_opro_llm,Base,OPRO-LLM,"Determine if this audio contains human speech. Use ""SPEECH"" or ""NON-SPEECH"" only, focusing on clarity and short durations.",0.6440166467304624,0.5151515151515151,0.5154605263157894,7,122,Acoustic focus
02_qwen2_base_opro_llm,Base,OPRO-LLM,"Classify this audio as SPEECH or NON-SPEECH, focusing on clarity and brevity.",1.0176697900053164,0.8151515151515152,0.8100730994152047,8,77,Acoustic focus
02_qwen2_base_opro_llm,Base,OPRO-LLM,What do you hear in this clip? Respond with SPEECH or NON-SPEECH.,0.6367352804359383,0.509090909090909,0.510577485380117,8,65,Open-ended question
02_qwen2_base_opro_llm,Base,OPRO-LLM,"Determine if this audio contains human speech. Use ""SPEECH"" or ""NON-SPEECH"" only.",1.0877130681818181,0.8681818181818182,0.8781249999999999,8,81,Direct question
02_qwen2_base_opro_llm,Base,OPRO-LLM,"Classify this audio as SPEECH or NON-SPEECH, focusing on clarity and brevity.",1.0176697900053164,0.8151515151515152,0.8100730994152047,9,77,Acoustic focus
02_qwen2_base_opro_llm,Base,OPRO-LLM,What type of sound is heard here? Answer: SPEECH or NON-SPEECH.,0.649827634901648,0.5196969696969697,0.5205226608187133,9,63,Open-ended question
02_qwen2_base_opro_llm,Base,OPRO-LLM,"Determine if this audio contains human speech. Use ""SPEECH"" or ""NON-SPEECH"" only, emphasizing short and noisy clips.",0.625,0.5,0.5,9,116,Robustness focus
05_qwen2_lora_opro_llm,LoRA,OPRO-LLM,"Does this audio contain human speech?
Reply with ONLY one word: SPEECH or NON-SPEECH.",1.1620837486709197,0.9287878787878787,0.9331834795321639,0,85,Binary directive
05_qwen2_lora_opro_llm,LoRA,OPRO-LLM,Classify this audio. Reply with SPEECH or NON-SPEECH.,0.704922913343966,0.5636363636363636,0.5651461988304094,1,53,Binary directive
05_qwen2_lora_opro_llm,LoRA,OPRO-LLM,What do you hear? Respond with SPEECH or NON-SPEECH.,0.6499391115098352,0.5196969696969697,0.520968567251462,1,52,Open-ended question
05_qwen2_lora_opro_llm,LoRA,OPRO-LLM,Determine if this contains human speech. Answer with SPEECH or NON-SPEECH.,0.7756536582934609,0.6196969696969696,0.6238267543859649,1,74,Binary directive
05_qwen2_lora_opro_llm,LoRA,OPRO-LLM,Determine if this contains human speech. Answer with SPEECH or NON-SPEECH.,0.7756536582934609,0.6196969696969696,0.6238267543859649,2,74,Binary directive
05_qwen2_lora_opro_llm,LoRA,OPRO-LLM,Classify this audio as SPEECH or NON-SPEECH.,1.1284568547315257,0.9015151515151515,0.9077668128654971,2,44,Binary directive
05_qwen2_lora_opro_llm,LoRA,OPRO-LLM,What type of sound is heard here? Respond with SPEECH or NON-SPEECH.,0.6666520467836257,0.5333333333333333,0.5332748538011696,2,68,Open-ended question
05_qwen2_lora_opro_llm,LoRA,OPRO-LLM,"Classify this audio as SPEECH or NON-SPEECH, focusing on short and noisy clips.",1.170544922913344,0.9363636363636363,0.9367251461988305,3,79,Acoustic focus
05_qwen2_lora_opro_llm,LoRA,OPRO-LLM,"What type of sound is this? Answer with SPEECH or NON-SPEECH, even in low SNR conditions.",0.625,0.5,0.5,3,89,Open-ended question
05_qwen2_lora_opro_llm,LoRA,OPRO-LLM,"Determine if this contains human speech; reply with SPEECH or NON-SPEECH, especially for brief clips.",0.625,0.5,0.5,3,101,Binary directive
05_qwen2_lora_opro_llm,LoRA,OPRO-LLM,"Classify this audio as SPEECH or NON-SPEECH, focusing on short, noisy clips.",0.7430823032961191,0.593939393939394,0.5965716374269006,4,76,Acoustic focus
05_qwen2_lora_opro_llm,LoRA,OPRO-LLM,What do you hear in this clip? Answer with SPEECH or NON-SPEECH.,0.6749622873471558,0.5393939393939394,0.5422733918128655,4,64,Open-ended question
